time/time_elapsed,time/total_timesteps,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,train/learning_rate,train/clip_fraction,train/explained_variance,train/n_updates,train/entropy_loss,train/policy_gradient_loss,train/approx_kl,train/clip_range,train/loss,train/value_loss
113,92160,45,21.99,0.86,808,0.0001,0.02705078125,0.40399826,440,-0.515524473786354,-0.004096769063471584,0.0014981598,0.2,0.023961134254932404,0.051081846165470776
116,94208,46,21.39,0.94,805,0.0001,0.0130859375,0.3768112,450,-0.4875914355739951,-0.0036400849974597806,0.0072480123,0.2,-0.003811049275100231,0.054818045347929
119,96256,47,22.85,0.9,802,0.0001,0.016162109375,0.4712205,460,-0.43813831703737377,-0.0013486843105056322,0.0054026647,0.2,0.033283334225416183,0.043122692935867235
122,98304,48,22.86,0.86,800,0.0001,0.04990234375,0.39104414,470,-0.4893371862359345,-0.004077980569854844,0.0040678773,0.2,0.03677823394536972,0.05270938038593158
125,100352,49,21.84,0.9,798,0.0001,0.026953125,0.44186944,480,-0.5179782330989837,-0.001801974352565594,0.0048931716,0.2,0.015019155107438564,0.04897746053175069
128,102400,50,23.18,0.86,796,0.0001,0.010009765625,0.51529443,490,-0.5067283883690834,-0.001206902030389756,0.004944911,0.2,0.007802260108292103,0.04192066861432977
131,104448,51,22.64,0.86,794,0.0001,0.048876953125,0.403422,500,-0.5332890007644892,-0.0032485945921507664,0.005145206,0.2,0.004412727430462837,0.05500387404463254
134,106496,52,23.43,0.96,793,0.0001,0.007421875,0.46174252,510,-0.5600727068260312,-7.543157844338566e-05,0.0014538858,0.2,0.034715957939624786,0.049516094446880744
137,108544,53,21.97,0.86,792,0.0001,0.002783203125,0.52412105,520,-0.5564084265381097,-0.00044967087596887724,0.0036952998,0.2,0.008162458427250385,0.03654969131166581
139,110592,54,22.41,0.82,790,0.0001,0.0107421875,0.37995982,530,-0.5043521136976779,-0.0011741183901904152,0.0062433486,0.2,0.01369398646056652,0.059447593573713674
142,112640,55,22.6,0.86,789,0.0001,0.067236328125,0.36141735,540,-0.5093606757000089,-0.0051416271562629845,0.004946845,0.2,-0.008144855499267578,0.06400544582284055
145,114688,56,22.84,0.9,787,0.0001,0.0072265625,0.41559565,550,-0.5030665586702525,-0.0016388602711231216,0.0052136877,0.2,0.004246272146701813,0.053729691327316684
