rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,time/iterations,time/fps,train/entropy_loss,train/clip_fraction,train/policy_gradient_loss,train/clip_range,train/loss,train/explained_variance,train/approx_kl,train/value_loss,train/n_updates,train/learning_rate
75.74,122,49152,0.38,24,401,-3.7709833472967147,0.078955078125,-0.012240910607215483,0.2,-0.0040301792323589325,0.45099813,0.0070712664,0.02765735855064122,230,0.0001
54.1,127,51200,0.38,25,401,-3.7812357053160666,0.036572265625,-0.008725075317488517,0.2,0.016175545752048492,0.104081094,0.006590211,0.06300701872678474,240,0.0001
52.34,132,53248,0.46,26,401,-3.730643004924059,0.047607421875,-0.012565445658401586,0.2,-0.018049785867333412,0.2596048,0.00893224,0.04882929150189739,250,0.0001
43.81,137,55296,0.52,27,401,-3.726443111896515,0.028759765625,-0.008670341038668993,0.2,0.017450643703341484,0.37570196,0.006523559,0.04597484010155313,260,0.0001
41.07,142,57344,0.56,28,401,-3.6673811741173266,0.041943359375,-0.008370883768657222,0.2,0.02114911377429962,0.28683764,0.00624056,0.06311326809227466,270,0.0001
42.13,148,59392,0.7,29,400,-3.609221554547548,0.086328125,-0.01373418052244233,0.2,-0.013357294723391533,0.35923636,0.008499644,0.048352002890896986,280,0.0001
35.12,153,61440,0.72,30,400,-3.5712011858820913,0.0875,-0.011684621719177812,0.2,0.019668718799948692,0.49682224,0.008781165,0.03743785423866939,290,0.0001
29.49,158,63488,0.76,31,400,-3.478944383561611,0.122607421875,-0.015071557358896825,0.2,-0.009180434048175812,0.4246922,0.012448741,0.052032977237831804,300,0.0001
25.7,163,65536,0.52,32,399,-3.3785893470048904,0.070361328125,-0.010017446713027312,0.2,-0.002596295438706875,0.37613893,0.007937653,0.05632055861642584,310,0.0001
25.46,169,67584,0.6,33,399,-3.448973572999239,0.043603515625,-0.009379036592144984,0.2,0.07601823657751083,0.20613462,0.007656906,0.10345762096112594,320,0.0001
28.03,174,69632,0.56,34,399,-3.4037641175091267,0.05517578125,-0.007909894667682238,0.2,0.010654149577021599,0.3234887,0.007013086,0.07729288295959122,330,0.0001
