time/time_elapsed,time/total_timesteps,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,train/learning_rate,train/clip_fraction,train/explained_variance,train/n_updates,train/entropy_loss,train/policy_gradient_loss,train/approx_kl,train/clip_range,train/loss,train/value_loss
174,176128,86,22.0,0.96,1009,0.0001,0.0669921875,0.45085698,850,-2.4967427864670753,-0.009262347168987616,0.008387062,0.2,-0.005798934027552605,0.04516755281656515
176,178176,87,20.75,0.94,1009,0.0001,0.04228515625,0.54223096,860,-2.4758369155228137,-0.006598679233866278,0.0044755135,0.2,0.026841405779123306,0.032420471476507375
178,180224,88,20.87,0.96,1009,0.0001,0.054541015625,0.42235094,870,-2.470107401907444,-0.00860343866806943,0.007667154,0.2,0.00845222920179367,0.04571902138995938
180,182272,89,20.53,0.98,1009,0.0001,0.025927734375,0.52197087,880,-2.480402734875679,-0.007071268688014243,0.006008634,0.2,0.0027094651013612747,0.03557670747395605
182,184320,90,21.33,0.96,1009,0.0001,0.085986328125,0.63208723,890,-2.448018230497837,-0.009035450727969874,0.008724838,0.2,0.011682840064167976,0.026157753984443845
184,186368,91,21.26,0.88,1009,0.0001,0.037158203125,0.49169838,900,-2.423052275925875,-0.007859598180948524,0.006165027,0.2,-0.024037271738052368,0.036873804428614675
186,188416,92,21.1,0.94,1009,0.0001,0.067138671875,0.33437032,910,-2.3676892824471,-0.01382949145627208,0.008489497,0.2,0.015514304861426353,0.05487273262697272
188,190464,93,21.52,0.88,1009,0.0001,0.028369140625,0.4514804,920,-2.3414341427385805,-0.007376354498410365,0.0070483414,0.2,0.007000982761383057,0.03971224439737853
190,192512,94,20.79,0.94,1009,0.0001,0.07568359375,0.41972154,930,-2.315890457481146,-0.011292994560790248,0.010915972,0.2,-0.005013074725866318,0.05029776298906654
192,194560,95,21.37,0.92,1008,0.0001,0.035888671875,0.40127373,940,-2.321135751157999,-0.006858266446215566,0.006437497,0.2,7.467344403266907e-06,0.045834378007566554
194,196608,96,19.49,0.96,1009,0.0001,0.048388671875,0.3064162,950,-2.337583263218403,-0.0068183264316758144,0.00894768,0.2,-0.0036260299384593964,0.0548570672981441
196,198656,97,21.88,0.9,1008,0.0001,0.074072265625,0.52642447,960,-2.284320955723524,-0.010030919394193916,0.012455886,0.2,0.0198284350335598,0.031597282949951476
198,200704,98,21.92,0.94,1008,0.0001,0.042236328125,0.37399477,970,-2.3152740940451624,-0.00790910269424785,0.0070586405,0.2,0.0537220798432827,0.05158229329390451
200,202752,99,19.46,0.9,1008,0.0001,0.02333984375,0.43854815,980,-2.3052933819592,-0.006040000728535233,0.0051603336,0.2,0.0074452366679906845,0.0438665529480204
203,204800,100,20.45,0.9,1008,0.0001,0.046240234375,0.39773113,990,-2.212575043737888,-0.007197907273803139,0.0082530165,0.2,0.02782023325562477,0.05201626299531199
205,206848,101,21.62,0.86,1008,0.0001,0.06416015625,0.43351752,1000,-2.2203758276998995,-0.009562859956349711,0.008550361,0.2,-0.010815296322107315,0.04830131282797083
207,208896,102,20.55,0.92,1008,0.0001,0.087353515625,0.36260873,1010,-2.308771923929453,-0.010563448244647588,0.009207269,0.2,0.03353984281420708,0.05872603446186986
209,210944,103,21.38,0.96,1008,0.0001,0.117822265625,0.4412077,1020,-2.2942575953900812,-0.014888227563642432,0.009043849,0.2,-0.0037141982465982437,0.04547974325832911
211,212992,104,20.88,0.96,1008,0.0001,0.027392578125,0.5409415,1030,-2.265466482192278,-0.0071608821126574185,0.0065056696,0.2,-0.02041812241077423,0.034088916139444335
213,215040,105,22.38,0.98,1007,0.0001,0.0365234375,0.45908242,1040,-2.2085500113666057,-0.006479139853763627,0.006968328,0.2,0.016008108854293823,0.04025188882951625
215,217088,106,20.66,0.92,1007,0.0001,0.09990234375,0.59849465,1050,-2.116225951164961,-0.013121617613069247,0.012284355,0.2,0.0009885849431157112,0.027990859377314336
217,219136,107,20.53,0.94,1007,0.0001,0.0482421875,0.49313217,1060,-2.128536742180586,-0.007659268818679265,0.0064312853,0.2,-0.023262251168489456,0.04196394713362679
219,221184,108,19.4,0.9,1007,0.0001,0.030224609375,0.47434705,1070,-2.0974379047751426,-0.007987562688504113,0.0056993347,0.2,-0.006773108616471291,0.040239757456583904
221,223232,109,21.5,0.92,1007,0.0001,0.059033203125,0.41883683,1080,-2.1102522023022177,-0.008662800660385984,0.00893163,0.2,0.006140090525150299,0.05172630830202252
223,225280,110,20.5,0.96,1007,0.0001,0.030517578125,0.4247077,1090,-2.11179530993104,-0.005778423485753592,0.0050820475,0.2,0.0007061567157506943,0.043198127576033585
225,227328,111,21.62,0.86,1007,0.0001,0.060546875,0.5377437,1100,-2.019636929780245,-0.007016063100309111,0.0069568697,0.2,-0.017582708969712257,0.03420637277304195
