rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,time/iterations,time/fps,train/entropy_loss,train/clip_fraction,train/policy_gradient_loss,train/clip_range,train/loss,train/explained_variance,train/approx_kl,train/value_loss,train/n_updates,train/learning_rate
86.52173913043478,3,2048,-0.13043478260869565,1,600,,,,,,,,,,
98.475,8,4096,-0.2,2,472,-4.154945819079876,0.029833984375,-0.010126706000301055,0.2,-0.01881931908428669,-1.8918881,0.007850217,0.05590064199641347,10,0.0001
103.76271186440678,13,6144,-0.05084745762711865,3,440,-4.144995506107807,0.02451171875,-0.010056671144411666,0.2,0.0035966215655207634,-0.38710225,0.005907838,0.03189253663149429,20,0.0001
98.6951219512195,19,8192,-0.012195121951219513,4,426,-4.130180306732655,0.036474609375,-0.010518182729720138,0.2,7.653608918190002e-05,-0.17830217,0.00590724,0.03229160807968583,30,0.0001
95.0,24,10240,-0.13,5,418,-4.117006388306618,0.030517578125,-0.009334501686680596,0.2,0.015376735478639603,-0.023941875,0.0067961253,0.03969966198492329,40,0.0001
88.09,29,12288,-0.03,6,413,-4.104748184978962,0.023388671875,-0.008648444477148586,0.2,0.025100380182266235,-0.06345701,0.0062945257,0.04964815299608745,50,0.0001
77.47,35,14336,-0.11,7,409,-4.098977570235729,0.02041015625,-0.0103291422878101,0.2,-0.01794043928384781,-0.05057299,0.006061215,0.04258989269437734,60,0.0001
74.3,40,16384,-0.06,8,406,-4.0838355123996735,0.028369140625,-0.01091482667325181,0.2,0.010827839374542236,-0.08951461,0.007198733,0.05346428190532606,70,0.0001
77.3,45,18432,0.1,9,404,-4.067638254165649,0.036328125,-0.01160382991147344,0.2,0.022873975336551666,-0.013687491,0.0068919663,0.04800770960137015,80,0.0001
78.64,50,20480,0.06,10,402,-4.051873145997524,0.058642578125,-0.016177800625155215,0.2,-0.018681149929761887,0.0029495358,0.0066780383,0.03193353889073478,90,0.0001
75.54,56,22528,0.28,11,400,-4.03722006380558,0.040478515625,-0.011656142864376306,0.2,0.01837320812046528,0.074594975,0.00662372,0.04407105138816405,100,0.0001
58.62,61,24576,0.4,12,399,-3.9924670957028865,0.089013671875,-0.013599731206704746,0.2,-0.006023656576871872,0.115378976,0.009264845,0.047739239959628324,110,0.0001
47.18,66,26624,0.58,13,398,-3.962316685914993,0.091064453125,-0.016392665726016276,0.2,-0.03536273166537285,0.20843738,0.009754552,0.053438516220194285,120,0.0001
37.23,72,28672,0.62,14,397,-3.9160801984369753,0.070947265625,-0.0139590730492273,0.2,0.0011589722707867622,0.33776248,0.007855367,0.05150608071417082,130,0.0001
32.91,77,30720,0.52,15,397,-3.863115192204714,0.079248046875,-0.012406920031207847,0.2,0.0011534839868545532,0.31104463,0.0094215665,0.06436712859431282,140,0.0001
32.33,82,32768,0.58,16,396,-3.803639663755894,0.071337890625,-0.011711675902915886,0.2,-0.00368555448949337,0.20861268,0.008479582,0.07839789717691019,150,0.0001
28.93,87,34816,0.56,17,395,-3.7696861065924168,0.0791015625,-0.012820748164085672,0.2,-0.0038001779466867447,0.2525975,0.008665048,0.07125351512804627,160,0.0001
28.83,93,36864,0.58,18,395,-3.7673831053078173,0.071826171875,-0.012719837881741114,0.2,-0.016971545293927193,0.33674765,0.007905312,0.07312294234870934,170,0.0001
29.32,98,38912,0.66,19,394,-3.710515943169594,0.0658203125,-0.01197556533588795,0.2,-0.019898779690265656,0.3359819,0.007346327,0.06573857013718225,180,0.0001
28.0,103,40960,0.76,20,394,-3.7003417544066908,0.071630859375,-0.013624425549278386,0.2,-0.0029859356582164764,0.37499017,0.009051149,0.06406532540568151,190,0.0001
23.85,109,43008,0.74,21,394,-3.6382871851325036,0.12626953125,-0.016173914459795925,0.2,0.004593443125486374,0.41084337,0.009684341,0.05436891347053461,200,0.0001
26.02,114,45056,0.74,22,393,-3.5827539540827273,0.0802734375,-0.012458092649831087,0.2,-0.023600175976753235,0.34170252,0.009256277,0.06945284003741108,210,0.0001
24.13,119,47104,0.78,23,393,-3.5285002067685127,0.0853515625,-0.014169631549157203,0.2,0.011703923344612122,0.37870926,0.0100829,0.05748652263137046,220,0.0001
24.31,125,49152,0.84,24,393,-3.4611772030591963,0.075537109375,-0.010124500744132093,0.2,0.02117915451526642,0.34322113,0.007948837,0.06317753627081402,230,0.0001
22.73,130,51200,0.82,25,392,-3.4045973993837833,0.092724609375,-0.013306678635854042,0.2,-0.0005145035684108734,0.45443362,0.008559994,0.05196354007930495,240,0.0001
