rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,time/iterations,time/fps,train/entropy_loss,train/clip_fraction,train/policy_gradient_loss,train/clip_range,train/loss,train/explained_variance,train/approx_kl,train/value_loss,train/n_updates,train/learning_rate
22.44,98,71680,0.8,35,730,-0.517820861376822,0.04560546875,-0.006756174385373015,0.2,0.0022241128608584404,0.45982218,0.0064758826,0.040890197866247036,340,0.0001
23.04,101,73728,0.86,36,729,-0.551430014334619,0.035302734375,-0.0019901022023987025,0.2,0.026945685967803,0.22852916,0.004536523,0.07827644025092013,350,0.0001
23.07,103,75776,0.88,37,729,-0.5223717469722032,0.0166015625,-0.00170896779090981,0.2,0.03716643154621124,0.386396,0.0021597925,0.053596305049723014,360,0.0001
22.51,106,77824,0.9,38,728,-0.546364220790565,0.024853515625,-0.002837211230507819,0.2,-0.01883205771446228,0.46989286,0.005210809,0.04534830177435652,370,0.0001
20.84,109,79872,0.88,39,728,-0.5436858447268605,0.004541015625,-0.0005834859824972227,0.2,0.00813712552189827,0.4669857,0.0019648145,0.0482753646268975,380,0.0001
20.89,112,81920,0.96,40,728,-0.5692553013563156,0.007421875,-9.302372927777468e-06,0.2,0.017596710473299026,0.52107847,0.0060358015,0.042826568853342906,390,0.0001
20.39,115,83968,0.84,41,727,-0.5497524622827769,0.08681640625,-0.007791965923388489,0.2,-0.016762636601924896,0.6038145,0.010715499,0.030325242405524477,400,0.0001
21.22,118,86016,0.92,42,726,-0.5380219061858952,0.00048828125,-0.0005555415656999685,0.2,0.026839474216103554,0.4122817,0.002279283,0.05964189266087487,410,0.0001
22.86,121,88064,0.92,43,726,-0.5324561732821167,0.001953125,-0.00019236455700593068,0.2,0.0306890569627285,0.5231909,0.0016849737,0.04004983039340004,420,0.0001
23.15,124,90112,0.86,44,726,-0.5015486247837544,0.0345703125,-0.003745772595721064,0.2,-0.014396732673048973,0.50278723,0.0069244606,0.0403496423503384,430,0.0001
21.77,126,92160,0.88,45,725,-0.5277460508048535,0.050439453125,-0.002770917027373798,0.2,0.05681192874908447,0.4258932,0.00407049,0.05360582933644764,440,0.0001
22.67,129,94208,0.92,46,725,-0.5241728448309004,0.01904296875,-0.0035847035898768807,0.2,0.03848903253674507,0.44722205,0.0064185727,0.05177864874131046,450,0.0001
21.89,132,96256,0.88,47,724,-0.5238152358680963,0.00498046875,-0.0008594160011853091,0.2,0.03181244432926178,0.42659158,0.005628702,0.04915243412833661,460,0.0001
21.81,135,98304,0.86,48,724,-0.5420411267317832,0.05263671875,-0.003669270483078435,0.2,0.043004319071769714,0.37389946,0.005500975,0.056008261325769124,470,0.0001
22.07,138,100352,0.9,49,724,-0.5362353766337037,0.002099609375,-0.0002881278531276621,0.2,0.014091117307543755,0.4135077,0.0008202621,0.05371332707582042,480,0.0001
23.43,141,102400,0.9,50,724,-0.483256496489048,0.08330078125,-0.006054865929763764,0.2,0.007609646767377853,0.46586877,0.008539959,0.048038662108592686,490,0.0001
